#,DBMS,Submitted,Classification,Link,,Brief Summary,SCOTT schema,,,TPC-H schema,,
,,,,,Notes,,Q1,Q2,time difference,Q1,Q2,time difference
1,CockroachDB,Yes,"Confirmed (Fixed, Previously Known), Unique",https://github.com/cockroachdb/cockroach/issues/51820,,suboptimal behavior related to the scalar subquery,select sal from emp where (select job from bonus order by ename limit 1) is not distinct from 'random string';,select emp.sal from emp left outer join (select * from bonus order by ename limit 1) as t on true where t.job is not distinct from 'random string';,5.1,"SELECT o_orderpriority
FROM   orders
WHERE  (SELECT n_comment
        FROM   nation
        ORDER  BY n_comment
        LIMIT  1) IS NOT DISTINCT FROM 'random string';","SELECT o_orderpriority
FROM  orders
LEFT OUTER JOIN
                (SELECT   *
                 FROM     nation
                 ORDER BY n_comment limit 1) AS t ON TRUE
WHERE t.n_comment IS NOT DISTINCT FROM 'random string'; ",188.6
2,CockroachDB,Yes,Backlogged,https://github.com/cockroachdb/cockroach/issues/54160,"See the response to the next entry, which also mentions this bug report (issue 54160, incorrectly referenced as 54060).",suboptimal behavior related to the STDDEV function,"select cast (stddev(sal) as DECIMAL(8,3)) from emp;","SELECT Cast(Power(( CASE 
                      WHEN Count(sal * sal) = 0 THEN 
                      NULL 
                      ELSE COALESCE(Sum(sal * sal), 0) 
                    END - CASE 
                            WHEN Count(sal) = 0 THEN NULL 
                            ELSE COALESCE(Sum(sal), 0) 
                          END * CASE 
                                  WHEN Count(sal) = 0 THEN NULL 
                                  ELSE COALESCE(Sum(sal), 0) 
                                END / Count(sal) ) / 
                              CASE 
                              WHEN Count(sal) = 1 
                                                                 THEN NULL 
                                                                   ELSE 
                              Count(sal) - 1 
                                                                 END, 0.5) AS 
            DECIMAL( 
                   8,3)) AS ""EXPR$0"" 
FROM   emp;",15.3,"SELECT stddev(""p_retailprice"") 
FROM   ""part""; ","SELECT Cast(Power(( CASE 
                      WHEN Count(""p_retailprice"" * ""p_retailprice"") = 0 THEN 
                      NULL 
                      ELSE COALESCE(Sum(""p_retailprice"" * ""p_retailprice""), 0) 
                    END - CASE 
                            WHEN Count(""p_retailprice"") = 0 THEN NULL 
                            ELSE COALESCE(Sum(""p_retailprice""), 0) 
                          END * CASE 
                                  WHEN Count(""p_retailprice"") = 0 THEN NULL 
                                  ELSE COALESCE(Sum(""p_retailprice""), 0) 
                                END / Count(""p_retailprice"") ) / 
                              CASE 
                              WHEN Count(""p_retailprice"") = 1 
                                                                 THEN NULL 
                                                                   ELSE 
                              Count(""p_retailprice"") - 1 
                                                                 END, 0.5) AS 
            DECIMAL( 
                   19, 16)) AS ""EXPR$0"" 
FROM   ""part"" ;",11.0
3,CockroachDB,Yes,Backlogged,https://github.com/cockroachdb/cockroach/issues/54161,,suboptimal behavior related to the VARIANCE function,"SELECT CAST(VARIANCE(""sal"") AS DECIMAL(15, 5)) FROM emp;","SELECT CAST(CAST((CASE WHEN COUNT(*) = 0 THEN NULL ELSE COALESCE(SUM(""sal"" * ""sal""), 0) END - CASE WHEN COUNT(*) = 0 THEN NULL ELSE COALESCE(SUM(""sal""), 0) END * CASE WHEN COUNT(*) = 0 THEN NULL ELSE COALESCE(SUM(""sal""), 0) END / COUNT(*)) / CASE WHEN COUNT(*) = 1 THEN NULL ELSE COUNT(*) - 1 END AS decimal(15,5)) AS DECIMAL(15, 5)) FROM emp;",17.3,"SELECT variance(""p_retailprice"") 
FROM   ""part""; ","SELECT Cast(Cast(( CASE 
                     WHEN Count(*) = 0 THEN NULL 
                     ELSE COALESCE(Sum(""p_retailprice"" * ""p_retailprice""), 0) 
                   END - CASE 
                           WHEN Count(*) = 0 THEN NULL 
                           ELSE COALESCE(Sum(""p_retailprice""), 0) 
                         END * CASE 
                                 WHEN Count(*) = 0 THEN NULL 
                                 ELSE COALESCE(Sum(""p_retailprice""), 0) 
                               END / Count(*) ) / CASE 
                                                    WHEN Count(*) = 1 THEN NULL 
                                                    ELSE Count(*) - 1 
                                                  END AS DECIMAL(15, 5)) AS 
                   DECIMAL(15, 5)) 
FROM   ""part"";",11.0
4,CockroachDB,Yes,"Confirmed (Not Fixed, Previously Unknown), Unique",https://github.com/cockroachdb/cockroach/issues/57330,"The developers acknowledge the issue and mention that ""this particular case wouldn't be hard to implement [...].""

",suboptimal behavior related to the GROUP BY and JOIN operator,"SELECT ""emp"".""empno"", 
       ""bonus"".""job"" 
FROM   ""emp"" 
       LEFT JOIN ""bonus"" 
              ON true 
GROUP  BY ""emp"".""empno"", 
          ""bonus"".""job"" 
LIMIT  30;","SELECT * 
FROM   (SELECT ""empno"" 
        FROM   ""emp"") AS ""t2"" 
       LEFT JOIN (SELECT ""job"" 
                  FROM   ""bonus"" 
                  GROUP  BY ""job"") AS ""t3"" 
              ON true 
LIMIT  30; ",150.0,"SELECT ""region"".""r_regionkey"", 
       ""supplier"".""s_address"" 
FROM   ""region"" 
       LEFT JOIN ""supplier"" 
              ON true 
GROUP  BY ""region"".""r_regionkey"", 
          ""supplier"".""s_address"" 
LIMIT  30; ","SELECT * 
FROM   (SELECT ""r_regionkey"" 
        FROM   ""region"") AS ""t2"" 
       LEFT JOIN (SELECT ""s_address"" 
                  FROM   ""supplier"" 
                  GROUP  BY ""s_address"") AS ""t3"" 
              ON true 
LIMIT  30; ",4.0
5,CockroachDB,Yes,"Confirmed (Fixed, Previously Unknown), Unique",https://github.com/cockroachdb/cockroach/issues/58382,,suboptimal behavior related to duplicate GROUP BY,"SELECT ""ename""
FROM (SELECT ""ename""
FROM ""emp""
WHERE ""ename"" NOT LIKE 'Okoye John'
GROUP BY ""ename"", ""sal"", ""mgr"", ""job"") AS ""t2""
GROUP BY ""ename"";","SELECT ""ename""
FROM ""emp""
WHERE ""ename"" NOT LIKE 'Okoye John'
GROUP BY ""ename"";",2.1,"SELECT ""c_phone""
FROM (SELECT ""c_phone""
FROM ""customer""
WHERE ""c_phone"" NOT LIKE '13-750-942-6364'
GROUP BY ""c_phone"", ""c_acctbal"") AS ""t2""
GROUP BY ""c_phone"";","SELECT ""c_phone""
FROM ""customer""
WHERE ""c_phone"" NOT LIKE '13-750-942-6364'
GROUP BY ""c_phone"";",2.3
6,CockroachDB,Yes,"Confirmed (Fixed, Previously Unknown), Unique",https://github.com/cockroachdb/cockroach/issues/57566,"The developers mention that this is ""an interesting case"".",suboptimal behavior related to the DISTINCT operator,"select job, sal, comm, deptno from emp where job = 'Technical ' group by job, sal,comm,deptno limit 13;","select Cast('Technical' AS VARCHAR(10)) as ""job"", sal, comm, deptno from emp where ""job"" = 'Technical ' group by sal, comm, deptno limit 13;",15.6,"SELECT   ""l_linenumber"", 
         ""l_shipinstruct"", 
         ""l_suppkey"" AS ""c_2"", 
         ""l_returnflag"", 
         ""l_suppkey"", 
         ""l_discount"" 
FROM     ""lineitem"" 
WHERE    ""l_returnflag"" = 'N' 
GROUP BY ""l_linenumber"", 
         ""l_shipinstruct"", 
         ""l_suppkey"", 
         ""l_returnflag"", 
         ""l_discount""FETCH next 13 rows only;","SELECT   ""l_linenumber"", 
         ""l_shipinstruct"", 
         ""l_suppkey""          AS ""c_2"", 
         Cast('N' AS CHAR(1)) AS ""l_returnflag"", 
         ""l_suppkey"", 
         ""l_discount"" 
FROM     ""lineitem"" 
WHERE    ""l_returnflag"" = 'N' 
GROUP BY ""l_suppkey"", 
         ""l_linenumber"", 
         ""l_discount"", 
         ""l_shipinstruct""FETCH next 13 rows only;",169.8
7,CockroachDB,Yes,"Confirmed (Fixed, Previously Unknown), Unique",https://github.com/cockroachdb/cockroach/issues/58283,The developers state that this is probably due to a missing rule.,suboptimal behavior related to predicate evaluation,"select ename, sal, job, deptno from emp where job = 'Technical ' IS true and job not like 'Technical ';","select ename, sal, job, deptno from emp where job = 'Technical ' and job not like 'Technical ';                                                                                                                        ",20.9,"SELECT ""s_suppkey"", 
       ""s_comment"", 
       ""s_nationkey"" 
FROM   ""supplier"" 
WHERE  ""s_comment"" NOT LIKE '. slyly regular pinto bea' 
       AND ""s_comment"" = '. slyly regular pinto bea' IS TRUE; ","SELECT ""s_suppkey"", 
       ""s_comment"", 
       ""s_nationkey"" 
FROM   ""supplier"" 
WHERE  ""s_comment"" NOT LIKE '. slyly regular pinto bea' 
       AND ""s_comment"" = '. slyly regular pinto bea'; ",49.0
8,CockroachDB,Yes,Backlogged,https://github.com/cockroachdb/cockroach/issues/58377,,suboptimal behavior related to unnecessary aggregate functions,"SELECT   Max(""sal"") AS ""c_0""
FROM     ""emp""
GROUP BY ""empno""
FETCH next 6 rows only;","SELECT (""sal"") AS ""c_0""
FROM     ""emp""
GROUP BY ""empno""
FETCH next 6 rows only;",5.1,"SELECT   Max(""c_acctbal"") AS ""c_0"" 
FROM     ""customer"" 
GROUP BY ""c_custkey""
FETCH next 6 rows only;","SELECT ""c_acctbal"" AS ""c_0"" 
FROM   ""customer""
FETCH next 6 rows only;",13.4
9,CockroachDB,Yes,"Confirmed (Fixed, Previously Known), Unique",https://github.com/cockroachdb/cockroach/issues/58284,,suboptimal behavior related to string casting,"select Cast('Technical' AS VARCHAR(10)) as ""job"", sal, comm, deptno from emp where ""job"" = 'Technical D';","select job, sal, comm, deptno from emp where ""job"" = 'Technical D';",2.0,"SELECT ""o_orderkey"", 
       ""o_orderpriority"", 
       ""o_orderdate"", 
       ""o_clerk"", 
       Cast(' foxes. pending accounts at the pending, silent asymptot' AS VARCHAR) AS ""o_comment"" 
FROM   ""orders"" 
WHERE  ""o_orderpriority"" = '5-LOW          ' IS NOT true 
AND    ""o_comment"" = ' foxes. pending accounts at the pending, silent asymptot' FETCH next 19 rows only;","SELECT ""o_orderkey"", 
       ""o_orderpriority"", 
       ""o_orderdate"", 
       ""o_clerk"", 
       ""o_comment"" 
FROM   ""orders"" 
WHERE  ""o_orderpriority"" = '5-LOW          ' IS NOT true 
AND    ""o_comment"" = ' foxes. pending accounts at the pending, silent asymptot' FETCH next 19 rows only;",2.0
10,CockroachDB,Yes,"Unconfirmed (False Positive), Unique",https://github.com/cockroachdb/cockroach/issues/58383,,suboptimal behavior related to the UNION operator,"SELECT ""sal"", 
       ""ename"" 
FROM   ""emp"" 
UNION 
SELECT ""empno"", 
       ""ename"" 
FROM   ""emp"" FETCH next 38 rows only;","SELECT   ""sal"", 
         ""ename"" 
FROM     ( 
                SELECT ""sal"", 
                       ""ename"" 
                FROM   ""emp"" 
                UNION ALL 
                SELECT ""empno"", 
                       ""ename"" 
                FROM   ""emp"" ) AS ""t16"" 
GROUP BY ""sal"", 
         ""ename"" FETCH next 38 rows only;",2.3,"SELECT ""s_nationkey"", 
       ""s_comment"" 
FROM   ""supplier"" 
UNION 
SELECT ""s_suppkey"", 
       ""s_comment"" 
FROM   ""supplier""FETCH next 38 rows only;","SELECT   ""s_nationkey"", 
         ""s_comment"" 
FROM     ( 
                SELECT ""s_nationkey"", 
                       ""s_comment"" 
                FROM   ""supplier"" 
                UNION ALL 
                SELECT ""s_suppkey"", 
                       ""s_comment"" 
                FROM   ""supplier""FETCH next 38 rows only) AS ""t16"" 
GROUP BY ""s_nationkey"", 
         ""s_comment""",46.3
